id,combFE,fuelCost,cyl,guzzlerBin
20889,17,2450,12,TRUE
20887,14,3000,12,TRUE
20913,12,3500,12,TRUE
20915,16,2600,12,TRUE
20602,27,1550,4,FALSE
21288,28,1500,4,FALSE
20607,25,1700,4,FALSE
20573,26,1600,4,FALSE
20578,27,1550,4,FALSE
20413,28,1500,4,FALSE
20567,27,1550,4,FALSE
20568,27,1550,4,FALSE
21232,36,1150,4,FALSE
21140,34,1200,4,FALSE
21141,34,1200,4,FALSE
20601,27,1550,4,FALSE
20606,25,1700,4,FALSE
20572,26,1600,4,FALSE
20577,26,1600,4,FALSE
20575,26,1600,4,FALSE
20613,25,1700,6,FALSE
20659,23,1850,6,FALSE
20745,25,1700,6,FALSE
20762,23,1850,6,FALSE
20761,24,1750,6,FALSE
20603,27,1550,4,FALSE
20604,27,1550,4,FALSE
20608,25,1700,4,FALSE
20605,27,1550,4,FALSE
20571,26,1600,4,FALSE
20574,26,1600,4,FALSE
20576,26,1600,4,FALSE
20656,24,1750,6,FALSE
20642,25,1700,6,FALSE
20661,23,1850,6,FALSE
20644,25,1700,6,FALSE
20760,24,1750,6,FALSE
20751,25,1700,6,FALSE
20763,23,1850,6,FALSE
20752,25,1700,6,FALSE
21334,27,1550,4,FALSE
21368,27,1550,4,FALSE
19566,22,1900,6,FALSE
19573,21,2000,6,FALSE
21339,24,1750,6,FALSE
21340,23,1850,6,FALSE
19660,18,2350,8,FALSE
19564,23,1850,6,FALSE
19563,24,1750,6,FALSE
19565,23,1850,6,FALSE
19571,22,1900,6,FALSE
19570,22,1900,6,FALSE
19572,22,1900,6,FALSE
20535,19,2200,8,FALSE
20534,19,2200,8,FALSE
20536,19,2200,8,FALSE
19658,18,2350,8,FALSE
19657,19,2200,8,FALSE
19659,18,2350,8,FALSE
20657,24,1750,6,FALSE
20759,22,1900,6,FALSE
20566,20,2100,8,FALSE
20533,19,2200,8,FALSE
19661,18,2350,8,FALSE
20532,18,2350,8,FALSE
20412,22,1900,6,FALSE
20411,21,2000,6,FALSE
20643,25,1700,6,FALSE
20660,23,1850,6,FALSE
20641,25,1700,6,FALSE
20658,22,1900,6,FALSE
20750,25,1700,6,FALSE
20747,25,1700,6,FALSE
20339,19,2200,6,FALSE
20002,20,2100,6,FALSE
20004,19,2200,6,FALSE
20006,20,2100,6,FALSE
20338,19,2200,6,FALSE
20005,20,2100,6,FALSE
19605,16,2600,8,TRUE
19580,17,2450,8,TRUE
19604,16,2600,8,TRUE
19579,17,2450,8,TRUE
19606,16,2600,8,TRUE
19581,17,2450,8,TRUE
21289,16,2600,12,TRUE
20565,26,1600,4,FALSE
20564,25,1700,4,FALSE
19602,24,1750,4,FALSE
19597,24,1750,4,FALSE
19600,21,2000,6,FALSE
19601,21,2000,6,FALSE
21194,23,1850,4,FALSE
20639,16,2600,8,FALSE
20059,21,2000,6,FALSE
21195,25,1650,6,FALSE
20058,20,2100,6,FALSE
20582,17,2450,8,FALSE
20640,16,2600,8,FALSE
20061,21,2000,6,FALSE
20060,20,2100,6,FALSE
20581,17,2450,8,FALSE
21165,26,1600,4,FALSE
21166,24,1750,4,FALSE
19615,27,1550,4,FALSE
19492,25,1700,4,FALSE
20441,28,1500,4,FALSE
20447,26,1600,4,FALSE
20031,28,1500,3,FALSE
20340,28,1500,3,FALSE
20979,25,1700,3,FALSE
20974,26,1600,3,FALSE
20341,30,1400,3,FALSE
20033,32,1300,3,FALSE
21376,28,1500,3,FALSE
21378,28,1500,3,FALSE
21377,25,1700,3,FALSE
21379,26,1600,3,FALSE
20343,30,1400,3,FALSE
20032,32,1300,3,FALSE
20342,30,1400,3,FALSE
20034,32,1300,3,FALSE
20438,27,1550,4,FALSE
20944,25,1700,4,FALSE
19528,26,1600,4,FALSE
19533,24,1750,4,FALSE
20800,28,1500,4,FALSE
20443,26,1600,4,FALSE
21372,27,1550,4,FALSE
21373,26,1600,4,FALSE
21374,24,1750,4,FALSE
20439,28,1500,4,FALSE
20445,26,1600,4,FALSE
20440,28,1500,4,FALSE
20446,26,1600,4,FALSE
21213,28,1500,4,FALSE
21327,27,1550,4,FALSE
21123,20,2100,6,FALSE
21328,26,1600,4,FALSE
20595,27,1350,4,FALSE
20590,27,1350,4,FALSE
20597,23,1600,6,FALSE
20596,22,1650,6,FALSE
21304,23,1600,6,FALSE
21113,23,1600,6,FALSE
21057,19,2100,8,FALSE
21273,21,1750,6,FALSE
21082,21,1750,6,FALSE
21354,22,1650,6,FALSE
19470,22,1650,6,FALSE
21114,23,1600,6,FALSE
21058,19,2100,8,FALSE
21052,18,2350,8,FALSE
21086,18,2350,8,FALSE
21053,17,2450,8,TRUE
21220,21,1750,6,FALSE
21095,16,2600,8,TRUE
21111,16,2600,8,TRUE
21087,18,2350,8,FALSE
21054,17,2450,8,TRUE
21303,23,1600,6,FALSE
21112,23,1600,6,FALSE
21056,19,2100,8,FALSE
21088,18,2350,8,FALSE
21272,21,1750,6,FALSE
21084,21,1750,6,FALSE
21096,16,2600,8,TRUE
21089,18,2350,8,FALSE
20216,21,1750,6,FALSE
20394,17,2350,8,FALSE
20306,21,1750,6,FALSE
20393,17,2350,8,FALSE
19945,20,1850,6,FALSE
19861,20,1850,6,FALSE
19831,21,1750,4,FALSE
20598,19,1950,6,FALSE
19860,19,1950,6,FALSE
19960,14,3000,10,TRUE
19637,29,1450,4,FALSE
19638,30,1400,4,FALSE
20335,29,1450,4,FALSE
20026,27,1550,4,FALSE
20291,34,1250,4,FALSE
20260,30,1400,4,FALSE
20027,27,1550,4,FALSE
20259,30,1400,4,FALSE
20234,25,1700,4,FALSE
20437,28,1500,4,FALSE
20671,25,1450,4,FALSE
20672,24,1550,4,FALSE
20623,23,1600,4,FALSE
20288,23,1600,4,FALSE
20408,23,1750,6,FALSE
20922,23,1600,4,FALSE
20419,21,1900,6,FALSE
20622,25,1450,4,FALSE
20289,25,1450,4,FALSE
20407,24,1650,6,FALSE
20457,22,1650,4,FALSE
20420,21,1900,6,FALSE
20196,22,1650,4,FALSE
20194,21,1750,4,FALSE
20153,24,1550,4,FALSE
20390,24,1550,4,FALSE
20472,25,1450,4,FALSE
20142,23,1600,4,FALSE
20468,25,1450,4,FALSE
20305,21,1750,6,FALSE
20215,21,1750,6,FALSE
20392,17,2350,8,FALSE
20391,15,2800,8,FALSE
21362,25,1450,4,FALSE
21360,26,1400,4,FALSE
21355,25,1450,4,FALSE
21361,25,1450,4,FALSE
20195,22,1650,4,FALSE
20193,21,1750,4,FALSE
20152,24,1550,4,FALSE
20389,24,1550,4,FALSE
20471,25,1450,4,FALSE
20140,23,1600,4,FALSE
20467,25,1450,4,FALSE
20473,26,1600,4,FALSE
21070,25,1450,4,FALSE
20614,26,1600,4,FALSE
21069,24,1550,4,FALSE
20723,18,2050,6,FALSE
20722,18,2050,6,FALSE
20725,18,2050,6,FALSE
20724,18,2050,6,FALSE
20542,20,1850,6,FALSE
20417,17,2350,8,FALSE
20594,19,1950,6,FALSE
20516,15,2650,8,FALSE
20398,17,2350,8,FALSE
19947,24,1550,4,FALSE
20843,18,2350,8,FALSE
20351,18,2350,8,FALSE
20842,18,2350,8,FALSE
20651,18,2350,8,FALSE
20474,19,2200,8,FALSE
20427,18,2350,8,FALSE
20841,13,3250,12,TRUE
20840,13,3250,12,TRUE
20819,13,3250,12,TRUE
20257,12,3500,12,TRUE
20839,13,3250,12,TRUE
20355,13,3250,12,TRUE
20780,13,3250,12,TRUE
21205,40,900,4,FALSE
21099,23,1600,4,FALSE
21142,20,1850,6,FALSE
21100,19,1950,6,FALSE
21109,24,1550,4,FALSE
21102,24,1550,4,FALSE
21101,20,1850,6,FALSE
19560,24,1550,4,FALSE
19569,23,1600,4,FALSE
19540,26,1400,4,FALSE
19557,25,1450,4,FALSE
19561,24,1550,4,FALSE
19562,24,1550,4,FALSE
19799,18,2050,6,FALSE
19805,17,2150,6,FALSE
19800,17,2150,6,FALSE
19806,16,2300,6,FALSE
19840,21,1750,4,FALSE
19844,18,2050,6,FALSE
19842,19,1950,6,FALSE
19893,20,1850,6,FALSE
19892,19,1950,6,FALSE
19841,22,1650,4,FALSE
19843,20,1850,6,FALSE
20903,21,1750,6,FALSE
20906,19,1950,6,FALSE
20904,21,1750,6,FALSE
20978,20,1850,6,FALSE
20977,19,1950,6,FALSE
20988,19,1950,6,FALSE
20907,19,1950,6,FALSE
20990,19,1950,6,FALSE
20964,17,2150,8,FALSE
20961,16,2300,8,FALSE
20963,16,2300,8,FALSE
20902,22,1650,6,FALSE
20976,21,1750,6,FALSE
20773,20,1850,6,FALSE
20960,18,2050,8,FALSE
20905,20,1850,6,FALSE
20989,20,1850,6,FALSE
20774,19,1950,6,FALSE
20962,17,2150,8,FALSE
20987,16,2300,6,FALSE
21212,31,1200,4,FALSE
21214,30,1200,4,FALSE
21217,35,1050,3,FALSE
21216,29,1250,4,FALSE
21147,17,2150,6,FALSE
21145,18,2050,6,FALSE
21146,19,1950,6,FALSE
21271,31,1200,3,FALSE
21185,34,1100,3,FALSE
21188,31,1200,4,FALSE
21189,29,1250,4,FALSE
21184,28,1300,4,FALSE
21190,31,1200,4,FALSE
21191,29,1250,4,FALSE
21173,28,1300,4,FALSE
20991,22,1900,4,FALSE
21187,25,1450,4,FALSE
21311,14,3000,6,TRUE
19616,23,1600,4,FALSE
19744,20,1850,6,FALSE
19618,27,1350,4,FALSE
19586,25,1450,4,FALSE
19733,25,1450,4,FALSE
19667,42,900,4,FALSE
19877,24,1550,4,FALSE
19876,24,1550,4,FALSE
19929,21,1750,6,FALSE
19867,21,1750,6,FALSE
19868,18,2050,8,FALSE
19872,18,2050,8,FALSE
19878,23,1600,4,FALSE
19881,23,1600,4,FALSE
19870,18,2050,8,FALSE
19873,17,2150,8,FALSE
19879,23,1600,4,FALSE
19880,24,1550,4,FALSE
19874,17,2150,8,FALSE
19863,16,2600,8,TRUE
21257,19,1950,6,FALSE
21255,19,1950,6,FALSE
21259,19,1950,6,FALSE
21260,23,1600,4,FALSE
21256,21,1750,6,FALSE
21258,21,1750,6,FALSE
20079,23,1600,4,FALSE
20082,23,1600,4,FALSE
20084,22,1650,4,FALSE
20083,22,1650,4,FALSE
20081,22,1650,4,FALSE
20080,22,1650,4,FALSE
20432,16,2300,6,FALSE
20418,16,2300,6,FALSE
19958,20,1850,6,FALSE
19959,19,1950,6,FALSE
20141,19,1950,6,FALSE
19957,21,1750,6,FALSE
20144,20,1850,6,FALSE
19568,22,1650,4,FALSE
19556,21,1750,4,FALSE
19559,21,1750,4,FALSE
19558,23,1600,4,FALSE
21148,17,2150,6,FALSE
21150,19,1950,6,FALSE
21149,18,2050,6,FALSE
21143,19,1950,6,FALSE
21098,19,1950,6,FALSE
21144,20,1850,6,FALSE
21129,20,1850,6,FALSE
19617,23,1600,4,FALSE
19833,20,1850,6,FALSE
19587,24,1550,4,FALSE
19832,21,1750,6,FALSE
19668,40,900,4,FALSE
19801,17,2150,6,FALSE
19803,17,2150,6,FALSE
19804,17,2150,6,FALSE
19802,16,2300,6,FALSE
20663,23,1850,4,FALSE
19791,17,2150,6,FALSE
19790,18,2050,6,FALSE
20871,30,1200,4,FALSE
20549,28,1300,4,FALSE
20880,28,1300,4,FALSE
20611,27,1350,4,FALSE
20743,22,1900,4,FALSE
20744,24,1550,4,FALSE
20740,25,1450,4,FALSE
19964,25,1450,6,FALSE
19963,23,1600,6,FALSE
20756,24,1750,4,FALSE
19886,23,1600,4,FALSE
20781,22,1900,4,FALSE
20025,24,1550,4,FALSE
20253,25,1700,4,FALSE
19946,23,1850,4,FALSE
19962,26,1400,4,FALSE
20095,24,1550,6,FALSE
20235,25,1700,4,FALSE
20102,22,1650,6,FALSE
19978,20,2100,6,FALSE
20039,19,2200,6,FALSE
20426,25,1700,4,FALSE
20066,21,2000,6,FALSE
20103,21,1750,6,FALSE
20254,25,1700,4,FALSE
20097,24,1550,6,FALSE
20016,18,2350,6,FALSE
20236,24,1750,4,FALSE
20104,22,1650,6,FALSE
20610,17,2450,8,TRUE
20046,17,2150,8,FALSE
20132,17,2150,8,FALSE
19388,22,1650,6,FALSE
19387,21,1750,6,FALSE
19853,22,1650,6,FALSE
20679,18,2050,6,FALSE
20107,20,1850,6,FALSE
20237,17,2150,6,FALSE
20105,17,2150,6,TRUE
20042,20,1850,6,FALSE
20584,19,1950,8,FALSE
20161,19,1950,8,FALSE
20965,18,2050,8,FALSE
20230,20,1850,8,FALSE
20118,17,2150,8,FALSE
20162,17,2150,8,FALSE
20177,19,1950,8,FALSE
20160,19,1950,8,FALSE
20203,19,1950,8,FALSE
20159,19,1950,8,FALSE
20754,25,1700,4,FALSE
20753,23,1850,4,FALSE
19908,22,1650,6,FALSE
20919,20,1850,6,FALSE
21353,15,2800,8,TRUE
19909,20,2100,8,FALSE
20983,16,2600,8,TRUE
19948,19,2200,8,FALSE
20825,25,1450,4,FALSE
20942,22,1650,4,FALSE
20947,22,1650,4,FALSE
21174,25,1650,4,FALSE
21167,20,1850,6,FALSE
21121,21,1750,4,FALSE
21178,23,1800,4,FALSE
21169,19,1950,6,FALSE
21171,16,2300,6,FALSE
20021,16,2600,8,TRUE
20019,19,2200,8,FALSE
20920,18,2350,8,FALSE
20020,19,2200,8,FALSE
20399,34,1100,4,FALSE
20405,32,1150,4,FALSE
21391,37,1100,4,FALSE
21386,37,1100,4,FALSE
20400,32,1150,4,FALSE
20402,31,1200,4,FALSE
20401,33,1100,4,FALSE
20403,31,1200,4,FALSE
19845,23,1600,4,FALSE
19829,23,1600,4,FALSE
19767,18,2050,6,FALSE
19846,25,1450,4,FALSE
19766,25,1450,4,FALSE
19769,20,1850,6,FALSE
20283,13,2850,8,FALSE
20284,12,3050,8,FALSE
19869,25,1450,4,FALSE
19917,22,1650,6,FALSE
19854,22,1650,6,FALSE
20018,19,1950,6,FALSE
20213,18,2050,8,FALSE
20206,18,2050,8,FALSE
20250,17,2150,8,FALSE
20232,18,2050,8,FALSE
20125,17,2150,8,FALSE
20173,17,2150,8,FALSE
20182,18,2050,8,FALSE
20172,18,2050,8,FALSE
20204,18,2050,8,FALSE
20171,18,2050,8,FALSE
20469,30,1200,4,FALSE
20924,46,800,4,FALSE
20755,26,1600,4,FALSE
20147,30,1200,4,FALSE
20149,32,1150,4,FALSE
20156,28,1300,4,FALSE
20170,28,1300,4,FALSE
20150,30,1200,4,FALSE
20148,32,1150,4,FALSE
20158,28,1300,4,FALSE
20167,28,1300,4,FALSE
20396,33,1100,4,FALSE
20397,33,1100,4,FALSE
21262,33,1100,4,FALSE
21263,32,1150,4,FALSE
20757,16,2600,8,TRUE
20758,17,2450,8,TRUE
19795,17,2150,6,FALSE
19793,18,2050,6,FALSE
20550,28,1300,4,FALSE
20612,27,1350,4,FALSE
19690,23,1600,4,FALSE
19574,20,1850,6,FALSE
19696,23,1600,4,FALSE
19538,21,1750,6,FALSE
19794,17,2150,6,FALSE
19792,18,2050,6,FALSE
20043,20,1850,6,FALSE
20181,19,1950,8,FALSE
20165,19,1950,8,FALSE
20966,18,2050,8,FALSE
20231,20,1850,8,FALSE
20119,17,2150,8,FALSE
20166,17,2150,8,FALSE
20179,19,1950,8,FALSE
20163,19,1950,8,FALSE
20047,17,2150,8,FALSE
20180,19,1950,8,FALSE
20164,19,1950,8,FALSE
20048,17,2150,8,FALSE
20943,22,1650,4,FALSE
20948,22,1650,4,FALSE
21177,25,1650,4,FALSE
21168,20,1850,6,FALSE
21122,21,1750,4,FALSE
21179,23,1800,4,FALSE
21170,19,1950,6,FALSE
21172,16,2300,6,FALSE
20285,13,2850,8,FALSE
20286,12,3050,8,FALSE
20862,19,1950,6,FALSE
20214,18,2050,8,FALSE
20207,18,2050,8,FALSE
20251,17,2150,8,FALSE
20233,18,2050,8,FALSE
20127,17,2150,8,FALSE
20176,17,2150,8,FALSE
20184,18,2050,8,FALSE
20175,18,2050,8,FALSE
20126,17,2150,8,FALSE
20183,18,2050,8,FALSE
20174,18,2050,8,FALSE
20239,16,2300,8,FALSE
19830,23,1600,4,FALSE
19771,18,2050,6,FALSE
19848,25,1450,4,FALSE
19770,25,1450,4,FALSE
19768,20,1850,6,FALSE
19653,19,1950,6,FALSE
19652,22,1650,6,FALSE
19884,18,2350,8,FALSE
19953,20,2100,6,FALSE
19956,18,2350,8,FALSE
19954,20,2100,6,FALSE
19955,19,2200,8,FALSE
19662,29,1450,4,FALSE
21285,27,1550,6,FALSE
20015,21,2000,6,FALSE
20014,22,1900,6,FALSE
20010,23,1850,6,FALSE
20009,22,1900,6,FALSE
20864,21,2000,6,FALSE
19526,22,1900,6,FALSE
19527,23,1850,6,FALSE
20328,29,1450,6,FALSE
20327,23,1850,6,FALSE
20313,25,1700,6,FALSE
20386,28,1500,4,FALSE
20312,25,1700,6,FALSE
20456,48,750,4,FALSE
19942,30,1200,4,FALSE
19943,29,1250,4,FALSE
19941,26,1400,4,FALSE
19944,25,1450,6,FALSE
19940,24,1550,6,FALSE
19939,21,1750,6,FALSE
20954,35,1050,4,FALSE
20952,35,1050,4,FALSE
20956,34,1100,4,FALSE
20951,32,1150,4,FALSE
20953,36,1000,4,FALSE
20950,35,1050,4,FALSE
20957,34,1100,4,FALSE
20949,32,1150,4,FALSE
20554,34,1100,4,FALSE
20552,33,1100,4,FALSE
20940,32,1300,4,FALSE
20938,33,1250,4,FALSE
21201,29,1250,4,FALSE
21199,27,1350,4,FALSE
21200,30,1200,4,FALSE
21198,28,1300,4,FALSE
20011,36,1000,4,FALSE
20013,34,1100,4,FALSE
20224,32,1150,4,FALSE
20794,29,1250,4,FALSE
20792,29,1250,4,FALSE
20793,31,1200,4,FALSE
20790,31,1200,4,FALSE
20788,28,1300,4,FALSE
21284,22,1650,6,FALSE
21074,21,1750,6,FALSE
21072,22,1650,6,FALSE
21073,22,1650,6,FALSE
21071,23,1600,6,FALSE
19680,21,1750,6,FALSE
19679,22,1650,6,FALSE
19723,30,1200,4,FALSE
19724,31,1200,4,FALSE
20330,23,1600,6,FALSE
20329,22,1650,6,FALSE
19666,35,1050,4,FALSE
20928,29,1250,4,FALSE
